


 342.120 877253052027857.375 4193573843309356384256.00000000 4193134814072144920576.00000000 0.11437675
 342.500 876278668303519.250 4213591381559008034816.00000000 4213138325951752437760.00000000 0.11442260
 342.880 875306446715328.500 4233639017664211320832.00000000 4233171840267373248512.00000000 0.11446846
 343.250 874336380074661.750 4141579597467090944000.00000000 4141058097125647187968.00000000 0.11451433
 343.630 873393905316824.500 4273294127234353725440.00000000 4272798797826042626048.00000000 0.11455900
 344.010 872428070890201.625 4293429870343713980416.00000000 4292920135335675428864.00000000 0.11460489
 344.390 871464370221795.875 4313594772793822543872.00000000 4313070536730787971072.00000000 0.11465078
 344.770 870502796248439.250 4333788597962353410048.00000000 4333249765384794931200.00000000 0.11469669
 345.140 869543341938103.625 4239234096507211218944.00000000 4238641882446033846272.00000000 0.11474260
 345.520 868611166483166.250 4373728786695081426944.00000000 4373160865068252397568.00000000 0.11478732
 345.900 867655875202593.250 4394007219356304408576.00000000 4393424417341325180928.00000000 0.11483325
 346.280 866702682856316.875 4414313632986511704064.00000000 4413715855124987379712.00000000 0.11487920
 346.650 865751582534365.250 4317748202827658297344.00000000 4317097849505495121920.00000000 0.11492515
 347.030 864827514784364.625 4454473270081092059136.00000000 4453845654519513350144.00000000 0.11496990
 347.410 863880523297697.625 4474861487645895688192.00000000 4474218612409074974720.00000000 0.11501587
 347.790 862935603465645.750 4495276742463106056192.00000000 4494618512121383092224.00000000 0.11506184
 348.170 861992748497656.625 4515718796794833928192.00000000 4515045115929925517312.00000000 0.11510783
 348.540 861051951632823.000 4416615098604188598272.00000000 4415889918792575221760.00000000 0.11515383
 348.920 860137883743616.250 4556142676880379084800.00000000 4555438221603432824832.00000000 0.11519862
 349.300 859201129198670.125 4576663019127374872576.00000000 4575942829666272280576.00000000 0.11524463
 349.670 858266412825651.250 4476030721570449653760.00000000 4475259712814227390464.00000000 0.11529066
 350.050 857358246346555.375 4617239338161745690624.00000000 4616487814576227745792.00000000 0.11533548
 350.430 856427533209541.500 4637835863648611860480.00000000 4637068322373558075392.00000000 0.11538152
 350.810 855498838569757.125 4658457535181003161600.00000000 4657673880920104894464.00000000 0.11542756
 351.180 854572155867848.750 4555770074245109383168.00000000 4554936551065766592512.00000000 0.11547362
 351.560 853671786548208.875 4699231069419710971904.00000000 4698415333652877541376.00000000 0.11551847
 351.940 852749055637729.000 4719926110163950370816.00000000 4719093978173695590400.00000000 0.11556455
 352.320 851828317326817.125 4740645350496409747456.00000000 4739796727087420669952.00000000 0.11561063
 352.690 850909565168029.125 4635888760583700873216.00000000 4634991266948497539072.00000000 0.11565672
 353.070 850016893022200.750 4781608677248411369472.00000000 4780727225743343353856.00000000 0.11570160
 353.450 849102042087971.250 4802398472321809514496.00000000 4801500246491624636416.00000000 0.11574771
 353.820 848189158296788.750 4696084560945468669952.00000000 4695138243900636397568.00000000 0.11579383
 354.200 847302181900401.375 4843498973759657738240.00000000 4842567361740820971520.00000000 0.11583874
 354.580 846393162055336.000 4864357217968180953088.00000000 4863408549003715936256.00000000 0.11588487
 354.950 845486090586045.500 4756478549767036600320.00000000 4755482595712027328512.00000000 0.11593101
 355.330 844604755599380.250 4905590739315340607488.00000000 4904608126663830536192.00000000 0.11597594
 355.710 843701511271212.625 4926515328223303172096.00000000 4925515376321328316416.00000000 0.11602210
 356.080 842800196789519.500 4817064633792704020480.00000000 4816018230049639497728.00000000 0.11606826
 356.460 841924449561896.250 4967877717594625540096.00000000 4966843265157721751552.00000000 0.11611322
 356.840 841026925882286.875 4988866548523530715136.00000000 4987814474874264485888.00000000 0.11615940
 357.210 840131313754063.500 4877836724854332588032.00000000 4876739059745546043392.00000000 0.11620558
 357.590 839261101312953.125 5030353658072292917248.00000000 5029266527741995384832.00000000 0.11625056
 357.970 838369244106378.875 5051404630676093272064.00000000 5050299597539152756736.00000000 0.11629677
 358.340 837479280386624.625 4938788741536981975040.00000000 4937639004455091306496.00000000 0.11634298
 358.720 836614550426968.750 5093012317717719416832.00000000 5091871672501541011456.00000000 0.11638798
 359.100 835728306199821.625 5114123334546265997312.00000000 5112964505318819102720.00000000 0.11643421
 359.470 834843937621832.375 4999914610810334216192.00000000 4998711992280695177216.00000000 0.11648044
 359.850 833984638495562.875 5155847462658738487296.00000000 5154652466742592274432.00000000 0.11652546
 360.230 833103954425455.000 5177016429709408337920.00000000 5175802968986370441216.00000000 0.11657171
 360.600 832225128390195.125 5061208269625908789248.00000000 5059951961361300324352.00000000 0.11661797
 360.980 831371209095951.250 5218852869810347311104.00000000 5217602688613381832704.00000000 0.11666301
 361.360 830496033021220.000 5240077697067861934080.00000000 5238808770693984944128.00000000 0.11670929
 361.730 829622697586894.000 5122663666480073146368.00000000 5121352861427457589248.00000000 0.11675556
 362.110 828774107759931.500 5282022328468305346560.00000000 5280716128689529552896.00000000 0.11680063
 362.480 827904388169340.750 5163538984444145696768.00000000 5162191563990829629440.00000000 0.11684692
 362.860 827059308099757.250 5324036497723239694336.00000000 5322692658033857658880.00000000 0.11689201
 363.240 826193181943449.250 5345349641867648565248.00000000 5343986591524207984640.00000000 0.11693831
 363.610 825328867966083.000 5225250094508082724864.00000000 5223846837394859884544.00000000 0.11698463
 363.990 824489034955034.250 5387465168139176640512.00000000 5386063926426841645056.00000000 0.11702973
 364.360 823628280996730.625 5266289603485482614784.00000000 5264848842878067146752.00000000 0.11707606
 364.740 822791903611812.500 5429645706017928904704.00000000 5428205907424557662208.00000000 0.11712117
 365.120 821934687722761.375 5451041418628603838464.00000000 5449581945165225918464.00000000 0.11716751
