298473060715729.3301310244 4245078.401787828994249230 [ W/m² ] / [ Sr ]
877253052027857.3750000000 11607123.99496156094033124 [ W/m² ] / [ Sr ]
876278668303519.2500000000 11604687.82798852131320895 [ W/m² ] / [ Sr ]
875306446715328.5000000000 11602242.75458969786365830 [ W/m² ] / [ Sr ]
874336380074661.7500000000 11599788.77711570506072608 [ W/m² ] / [ Sr ]
873393905316824.5000000000 11597390.82467537854432903 [ W/m² ] / [ Sr ]
872428070890201.6250000000 11594919.28076718521374721 [ W/m² ] / [ Sr ]
871464370221795.8750000000 11592438.84053322879954334 [ W/m² ] / [ Sr ]
870502796248439.2500000000 11589949.50683336540702226 [ W/m² ] / [ Sr ]
869543341938103.6250000000 11587451.28265445217548571 [ W/m² ] / [ Sr ]
868611166483166.2500000000 11585010.26156411877756951 [ W/m² ] / [ Sr ]
867655875202593.2500000000 11582494.49964356520809768 [ W/m² ] / [ Sr ]
866702682856316.8750000000 11579969.85687167631987050 [ W/m² ] / [ Sr ]
865751582534365.2500000000 11577436.33673531239871339 [ W/m² ] / [ Sr ]
864827514784364.6250000000 11574960.96160438857351367 [ W/m² ] / [ Sr ]
863880523297697.6250000000 11572409.93107035764531905 [ W/m² ] / [ Sr ]
862935603465645.7500000000 11569850.03427523317602310 [ W/m² ] / [ Sr ]
861992748497656.6250000000 11567281.27519832623641654 [ W/m² ] / [ Sr ]
861051951632823.0000000000 11564703.65794166891869914 [ W/m² ] / [ Sr ]
860137883743616.2500000000 11562185.36515869673170762 [ W/m² ] / [ Sr ]
859201129198670.1250000000 11559590.27716483213720388 [ W/m² ] / [ Sr ]
858266412825651.2500000000 11556986.34390963343861698 [ W/m² ] / [ Sr ]
857358246346555.3750000000 11554442.44041078021270244 [ W/m² ] / [ Sr ]
856427533209541.5000000000 11551821.06297195617717128 [ W/m² ] / [ Sr ]
855498838569757.1250000000 11549190.85425810482879822 [ W/m² ] / [ Sr ]
854572155867848.7500000000 11546551.81921023266366444 [ W/m² ] / [ Sr ]
853671786548208.8750000000 11543973.75628920282443191 [ W/m² ] / [ Sr ]
852749055637729.0000000000 11541317.31580611103594899 [ W/m² ] / [ Sr ]
851828317326817.1250000000 11538652.06438179429880667 [ W/m² ] / [ Sr ]
850909565168029.1250000000 11535978.00742625532779187 [ W/m² ] / [ Sr ]
850016893022200.7500000000 11533365.86466033269186184 [ W/m² ] / [ Sr ]
849102042087971.2500000000 11530674.44469618580421215 [ W/m² ] / [ Sr ]
848189158296788.7500000000 11527974.23597632457684863 [ W/m² ] / [ Sr ]
847302181900401.3750000000 11525336.64609735738964927 [ W/m² ] / [ Sr ]
846393162055336.0000000000 11522619.10848701802144529 [ W/m² ] / [ Sr ]
845486090586045.5000000000 11519892.79991547684345383 [ W/m² ] / [ Sr ]
844604755599380.2500000000 11517229.81444477048152645 [ W/m² ] / [ Sr ]
843701511271212.6250000000 11514486.21309866800731902 [ W/m² ] / [ Sr ]
842800196789519.5000000000 11511733.85959127149688005 [ W/m² ] / [ Sr ]
841924449561896.2500000000 11509045.53296117240458465 [ W/m² ] / [ Sr ]
841026925882286.8750000000 11506275.92476595044430515 [ W/m² ] / [ Sr ]
840131313754063.5000000000 11503497.58420101932714147 [ W/m² ] / [ Sr ]
839261101312953.1250000000 11500783.97371519263157357 [ W/m² ] / [ Sr ]
838369244106378.8750000000 11497988.41849281277203698 [ W/m² ] / [ Sr ]
837479280386624.6250000000 11495184.15167016439941601 [ W/m² ] / [ Sr ]
836614550426968.7500000000 11492445.31746358307300353 [ W/m² ] / [ Sr ]
835728306199821.6250000000 11489623.87793013368350267 [ W/m² ] / [ Sr ]
834843937621832.3750000000 11486793.74852980178063877 [ W/m² ] / [ Sr ]
833984638495562.8750000000 11484029.75352846204197404 [ W/m² ] / [ Sr ]
833103954425455.0000000000 11481182.49525270225322405 [ W/m² ] / [ Sr ]
832225128390195.1250000000 11478326.56979339321253435 [ W/m² ] / [ Sr ]
831371209095951.2500000000 11475537.47967378719618330 [ W/m² ] / [ Sr ]
830496033021220.0000000000 11472664.47103544548016500 [ W/m² ] / [ Sr ]
829622697586894.0000000000 11469782.81883276036381170 [ W/m² ] / [ Sr ]
828774107759931.5000000000 11466968.70198112537991952 [ W/m² ] / [ Sr ]
827904388169340.7500000000 11464070.01412897775812702 [ W/m² ] / [ Sr ]
827059308099757.2500000000 11461239.32568180846150386 [ W/m² ] / [ Sr ]
826193181943449.2500000000 11458323.63472479454434802 [ W/m² ] / [ Sr ]
825328867966083.0000000000 11455399.34153454753739574 [ W/m² ] / [ Sr ]
824489034955034.2500000000 11452543.74602414575486928 [ W/m² ] / [ Sr ]
823628280996730.6250000000 11449602.50024644263277943 [ W/m² ] / [ Sr ]
822791903611812.5000000000 11446730.41497206880981348 [ W/m² ] / [ Sr ]
821934687722761.3750000000 11443772.25110876422082896 [ W/m² ] / [ Sr ]
821079256134969.3750000000 11440805.52882913248423349 [ W/m² ] / [ Sr ]
820248045090153.0000000000 11437908.66335775164451623 [ W/m² ] / [ Sr ]
819396118840025.1250000000 11434925.07641984482626375 [ W/m² ] / [ Sr ]
818568310397553.5000000000 11432011.80772991256508950 [ W/m² ] / [ Sr ]
817719867983197.8750000000 11429011.39254098828265098 [ W/m² ] / [ Sr ]
816895441292678.2500000000 11426081.75644568480702094 [ W/m² ] / [ Sr ]
816050461387701.7500000000 11423064.55015861136206204 [ W/m² ] / [ Sr ]
815207227736233.8750000000 11420038.85079811848044600 [ W/m² ] / [ Sr ]
